ant1,count1,ant2,count2
separate,1,connected,8
mechanical,1,electrical,4
mechanical,1,electrical,4
lower,3,elevate,1
extraordinary,2,everyday,4
much,6,few,7
output,1,input,10
except,4,include,8
instrumental,5,vocal,53
pro,3,anti,1
cause,1,prevent,1
allow,9,prevent,1
permit,4,prevent,1
rapid,2,slow,1
immediate,2,slow,1
hot,15,slow,1
quick,25,slow,1
swift,2,slow,1
speed,2,slow,1
express,16,slow,1
mountain,7,valley,29
get,106,leave,10
night,3,day,31
undergraduate,13,graduate,10
citizen,7,subject,18
comprehensive,5,exclusive,13
valley,29,mountain,7
plain,6,mountain,7
break,3,repair,3
receiver,5,transmitter,37
national,24,local,25
systemic,1,local,25
general,90,local,25
worldwide,5,local,25
global,48,local,25
limited,11,local,25
express,16,local,25
express,16,local,25
simple,7,complex,2
premium,25,discount,2
miss,3,hit,1
miss,3,hit,1
western,5,eastern,4
sell,28,buy,26
sell,28,buy,26
mountain,7,plain,6
withdraw,5,progress,2
retire,1,progress,2
rise,7,set,44
previous,10,subsequent,3
former,3,subsequent,3
false,2,constant,2
dry,5,wet,3
patient,11,agent,26
fiction,11,fact,2
organic,2,functional,1
cosmetic,2,functional,1
bad,8,healthy,3
run,3,rise,7
run,3,rise,7
fall,2,rise,7
set,44,rise,7
decline,1,rise,7
man,3,beast,1
cooling,9,heating,48
high,35,low,13
last,15,low,13
advanced,30,low,13
alto,5,low,13
upper,7,low,13
call,22,put,1
contingent,2,certain,5
hide,6,show,47
pure,30,applied,2
pure,30,applied,2
asset,9,liability,1
sharp,2,pleasant,2
harsh,2,pleasant,2
fall,2,ascension,8
matter,3,form,34
general,90,particular,3
universal,2,particular,3
next,14,previous,10
black,5,legal,21
unlawful,1,legal,21
stop,5,preserve,1
melody,18,discord,3
decline,1,improvement,6
answer,3,inquiry,10
experienced,2,green,13
old,10,new,285
ancient,1,new,285
ancient,1,new,285
used,55,new,285
failure,2,success,13
closing,1,opening,2
final,4,opening,2
retail,6,wholesale,5
cool,5,heat,1
bad,8,superior,6
common,3,superior,6
view,398,controller,38
boy,13,girl,9
free,97,stick,4
move,11,stick,4
lay,1,back,159
lay,1,back,159
face,13,back,159
front,11,back,159
free,97,exact,3
round,2,exact,3
withdraw,5,lock,1
beast,1,man,3
woman,5,man,3
keep,13,allow,9
prohibit,1,allow,9
disallow,7,allow,9
prevent,1,allow,9
light,5,compact,2
harsh,2,fine,3
cold,2,hot,15
icy,1,hot,15
spiritual,4,material,10
all,436,none,2
summer,14,winter,85
summer,14,winter,85
remove,6,add,66
nonprofit,2,commercial,15
specific,11,generic,1
bad,8,genuine,2
counterfeit,1,genuine,2
artificial,1,genuine,2
change,49,remain,3
singular,1,dual,3
change,49,stay,20
winter,85,summer,14
winter,85,summer,14
student,41,teacher,5
inland,1,coastal,12
interior,2,coastal,12
original,4,derived,2
employee,8,employer,4
import,1,export,1
back,159,face,13
avoid,1,face,13
guy,1,girls,48
know,27,ignore,1
watch,24,ignore,1
equal,10,mixed,10
exempt,1,apply,21
refuse,2,apply,21
resist,2,apply,21
commercial,15,noncommercial,5
lay,1,stand,5
famous,2,unknown,1
known,1,unknown,1
known,1,unknown,1
notable,1,unknown,1
narrow,3,wide,5
dependent,1,main,77
proper,1,improper,2
ignore,1,mention,2
low,13,sufficient,2
light,5,sufficient,2
short,10,sufficient,2
collect,1,distribute,1
bad,8,valid,4
false,2,valid,4
invalid,4,valid,4
resolution,9,preparation,6
morning,4,afternoon,1
mind,5,body,31
evolution,2,revolution,1
bottom,2,top,79
side,23,top,79
ancient,1,recent,20
out,56,safe,7
wild,1,safe,7
hazardous,1,safe,7
religious,2,secular,2
spiritual,4,secular,2
sacred,8,secular,2
break,3,upgrade,5
fall,2,upgrade,5
online,70,offline,1
data,75,program,107
break,3,fix,3
fine,3,harsh,2
correct,7,incorrect,1
accurate,3,incorrect,1
exact,3,incorrect,1
precise,1,incorrect,1
domain,20,range,5
delay,2,rush,1
refuse,2,accept,15
decline,1,accept,15
wrong,10,appropriate,1
beginning,4,conclusion,2
national,24,foreign,1
internal,7,foreign,1
native,3,foreign,1
coastal,12,inland,1
contract,4,stretch,2
grey,1,terminal,3
intermediate,6,terminal,3
direct,6,alternating,2
speed,2,delay,2
speed,2,delay,2
rush,1,delay,2
minor,2,major,4
minor,2,major,4
secondary,2,major,4
reverse,2,normal,2
extraordinary,2,normal,2
rational,1,physical,5
intellectual,3,physical,5
live,23,animated,2
inside,34,outside,3
wrong,10,outside,3
interior,2,outside,3
park,53,building,28
individual,11,group,20
break,3,promote,4
safe,7,out,56
old,10,future,17
previous,10,future,17
historical,4,future,17
ongoing,1,future,17
past,82,future,17
give,10,take,20
decline,1,take,20
men,34,woman,5
man,3,woman,5
manual,3,automatic,1
manual,3,automatic,1
wet,3,dry,5
wet,3,dry,5
sticky,1,dry,5
fresh,1,dry,5
forest,10,prairie,16
various,61,same,7
contrary,1,same,7
other,429,same,7
view,398,model,13
viewing,6,model,13
gross,1,specific,11
overall,3,specific,11
general,90,specific,11
general,90,specific,11
universal,2,specific,11
arrival,4,departure,4
dark,7,light,5
black,5,light,5
harsh,2,light,5
massive,2,light,5
spread,1,gather,1
right,28,left,11
far,6,left,11
center,106,left,11
engage,5,terminate,1
start,26,terminate,1
get,106,terminate,1
credit,30,cash,11
slow,1,fast,20
outside,3,inside,34
outside,3,inside,34
stadium,1,arena,2
tail,2,head,13
foot,2,head,13
professional,15,lay,1
sell,28,purchase,25
question,4,answer,3
query,1,answer,3
inquiry,10,answer,3
enquiry,2,answer,3
costly,1,cheap,1
fair,7,extraordinary,2
common,3,extraordinary,2
average,4,extraordinary,2
exclusive,13,inclusive,3
hardware,6,package,10
child,10,parent,2
hardware,6,software,28
head,13,tail,2
economy,4,waste,4
live,23,blank,1
cooperation,1,contest,2
announce,1,hide,6
popular,23,classic,12
consent,24,decline,1
improvement,6,decline,1
better,11,decline,1
rise,7,decline,1
take,20,decline,1
soft,6,stony,2
cool,5,warm,5
cool,5,warm,5
cold,2,warm,5
mechanical,1,electronic,9
mechanical,1,electronic,9
false,2,honest,1
permit,4,prohibit,1
warm,5,arctic,3
remote,5,close,55
open,67,close,55
cold,2,close,55
farthest,1,close,55
deep,5,close,55
far,6,close,55
blue,11,neutral,2
green,13,neutral,2
positive,3,neutral,2
yellow,1,neutral,2
garbage,4,resource,19
vocal,53,instrumental,5
hit,1,miss,3
feature,6,miss,3
attend,1,miss,3
have,110,miss,3
signal,5,noise,1
free,97,enforce,1
exempt,1,implement,2
magical,1,natural,5
fake,15,natural,5
flat,2,natural,5
artificial,1,natural,5
artificial,1,natural,5
ignore,1,notice,31
young,6,old,10
young,6,old,10
teenage,2,old,10
small,17,old,10
early,10,old,10
modern,9,old,10
newborn,5,old,10
novel,1,old,10
refreshing,638,old,10
new,285,old,10
recent,20,old,10
virgin,1,old,10
junior,1,old,10
fresh,1,old,10
clear,6,confused,1
apply,21,free,97
lodge,2,free,97
implement,2,free,97
freeze,1,free,97
specific,11,general,90
specific,11,general,90
individual,11,general,90
individual,11,general,90
particular,3,general,90
local,25,general,90
local,25,general,90
open,67,protected,7
ground,6,figure,3
same,7,other,429
unwind,1,roll,2
superior,6,junior,1
withdraw,5,operate,1
immediate,2,past,82
ongoing,1,past,82
dead,4,active,8
dark,7,active,8
day,31,night,3
natural,5,sharp,2
head,13,sharp,2
dual,3,singular,1
top,79,bottom,2
top,79,bottom,2
dark,7,white,13
black,5,white,13
colored,7,white,13
coloured,1,white,13
ending,1,beginning,4
finish,1,beginning,4
bad,8,fresh,1
off,31,fresh,1
hard,3,fresh,1
cold,2,original,4
right,28,wrong,10
right,28,wrong,10
accurate,3,wrong,10
precise,1,wrong,10
terminate,1,engage,5
withdraw,5,engage,5
fire,7,engage,5
shrink,2,expand,5
cut,4,expand,5
shorten,1,expand,5
young,6,late,3
middle,3,late,3
early,10,late,3
new,285,late,3
blue,11,cheerful,1
dark,7,cheerful,1
disable,2,enable,9
bad,8,harmless,1
material,10,spiritual,4
hidden,3,visible,1
connected,8,wireless,21
remote,5,accessible,1
disagree,1,check,28
local,25,global,48
local,25,global,48
rest,4,move,11
disagree,1,concur,1
object,4,relations,8
square,12,round,2
length,2,width,1
popular,23,anonymous,1
goods,3,capital,7
servicing,2,capital,7
services,123,capital,7
service,121,capital,7
beginning,4,end,10
first,42,end,10
get,106,end,10
attached,6,detached,9
figure,3,ground,6
block,4,remember,8
buy,26,sell,28
buy,26,sell,28
eastern,4,west,19
east,19,west,19
east,19,west,19
east,19,west,19
mineral,3,animal,5
human,18,animal,5
hot,15,bad,8
good,16,bad,8
great,23,bad,8
delete,2,record,8
pro,3,con,2
pro,3,con,2
single,18,married,1
single,18,married,1
improper,2,proper,1
incorrect,1,proper,1
permanent,2,transient,2
minor,2,adult,27
same,7,different,7
same,7,different,7
similar,7,different,7
like,39,different,7
fact,2,fiction,11
low,13,proud,2
hot,15,far,6
close,55,far,6
warm,5,far,6
head,13,foot,2
valley,29,hill,18
plain,6,hill,18
clear,6,cloud,25
leading,6,following,10
virtual,10,real,82
false,2,real,82
legendary,1,real,82
grow,9,shrink,2
stretch,2,shrink,2
specialize,1,broaden,1
narrow,3,broaden,1
all,436,party,31
whole,3,party,31
anti,1,pro,3
con,2,pro,3
back,159,front,11
back,159,front,11
back,159,front,11
difference,1,identity,3
extensive,2,intensive,2
valid,4,invalid,4
cold,2,live,23
individual,11,shared,2
external,24,internal,7
outside,3,internal,7
mineral,3,organic,2
functional,1,organic,2
spare,2,ample,1
lights,3,dark,7
day,31,dark,7
lighting,12,dark,7
bright,4,dark,7
light,5,dark,7
white,13,dark,7
height,2,depth,2
enable,9,disable,2
vacant,3,full,22
blank,1,full,22
white,13,full,22
spare,2,necessary,6
extra,4,necessary,6
excess,1,necessary,6
grant,6,refuse,2
consent,24,refuse,2
accept,15,refuse,2
apply,21,refuse,2
allow,9,refuse,2
have,110,refuse,2
take,20,refuse,2
obey,1,refuse,2
dress,2,strip,1
confidential,2,public,41
private,8,public,41
private,8,public,41
secret,1,public,41
secondary,2,dominant,5
refuse,2,have,110
decline,1,have,110
miss,3,have,110
secular,2,music,82
big,29,soft,6
stony,2,soft,6
hard,3,soft,6
pollution,1,conservation,2
single,18,double,4
secular,2,sacred,8
secular,2,sacred,8
error,55,truth,2
keep,13,break,3
elevate,1,break,3
restore,3,break,3
promote,4,break,3
repair,3,break,3
make,26,break,3
upgrade,5,break,3
separate,1,attached,6
pull,1,drive,6
winner,2,failure,2
success,13,failure,2
spending,2,income,4
half,12,whole,3
brief,1,long,16
close,55,long,16
short,10,long,16
official,4,private,8
official,4,private,8
public,41,private,8
small,17,unlimited,6
limited,11,unlimited,6
sleep,14,wake,1
long,16,scarce,1
easy,26,scarce,1
start,26,ending,1
specific,11,overall,3
free,97,deposit,2
withdraw,5,deposit,2
dark,7,lighting,12
change,49,rest,4
move,11,rest,4
activity,17,rest,4
meet,3,avoid,1
face,13,avoid,1
ignore,1,note,14
limited,11,comprehensive,5
outdated,1,current,34
worldwide,5,national,24
global,48,national,24
planetary,5,national,24
international,43,national,24
local,25,national,24
different,7,similar,7
retrieve,1,block,4
free,97,block,4
release,13,block,4
analogue,7,digital,44
undergraduate,13,postgraduate,2
buy,26,sale,50
buying,13,sale,50
let,7,disallow,7
permit,4,disallow,7
rancho,7,hacienda,1
unable,2,strong,4
hope,2,fear,1
last,15,initial,2
large,323,tiny,2
cooperation,1,competition,6
outlet,7,inlet,1
junior,1,senior,4
vertical,3,horizontal,3
vertical,3,horizontal,3
childhood,1,age,18
false,2,correct,7
low,13,high,35
low,13,high,35
deep,5,high,35
reduced,6,high,35
collect,1,spread,1
fold,2,spread,1
sharp,2,flat,2
sharp,2,flat,2
natural,5,flat,2
general,90,precise,1
cooperative,3,separate,1
collective,2,separate,1
corporate,26,separate,1
decline,1,consent,24
parent,2,kid,2
heat,1,cold,2
hot,15,cold,2
heated,2,cold,2
thermal,28,cold,2
warm,5,cold,2
white,13,cold,2
separate,1,collective,2
individual,11,collective,2
individual,11,collective,2
old,10,young,6
aged,3,young,6
aged,3,young,6
gray,1,young,6
senior,4,young,6
grey,1,young,6
broken,7,smooth,3
decline,1,improve,9
citizen,7,stranger,1
permanent,2,temporary,2
heavy,3,clear,6
cloud,25,clear,6
expand,5,contract,4
clear,6,gross,1
smooth,3,hard,3
soft,6,hard,3
easy,26,hard,3
casual,8,hard,3
break,3,make,26
severe,1,minor,2
major,4,minor,2
major,4,minor,2
contingent,2,impossible,1
possible,14,impossible,1
comedy,5,drama,3
empty,10,fill,7
advantage,10,penalty,1
reward,1,penalty,1
paid,29,unpaid,1
lead,2,follow,39
lift,2,fall,2
ascension,8,fall,2
increase,7,fall,2
upgrade,5,fall,2
rise,7,fall,2
rise,7,fall,2
climb,1,fall,2
flat,2,linear,1
digital,44,linear,1
unpaid,1,paid,29
agent,26,patient,11
competition,6,cooperation,1
different,7,like,39
whole,3,fractional,2
public,41,single,18
married,1,single,18
married,1,single,18
dual,3,single,18
double,4,single,18
common,3,single,18
multiple,11,single,18
lower,3,higher,3
outside,3,indoor,9
outdoor,39,indoor,9
automated,1,manual,3
automatic,1,manual,3
like,39,pet,19
block,4,retrieve,1
fall,2,rising,2
outside,3,interior,2
surface,5,interior,2
bad,8,sound,8
failure,2,winner,2
penalty,1,advantage,10
disclaimer,12,claim,4
unknown,1,known,1
parent,2,child,10
server,24,client,15
emotional,1,intellectual,3
main,77,dependent,1
individual,11,dependent,1
independent,14,dependent,1
clear,6,guilty,1
true,6,false,2
true,6,false,2
real,82,false,2
genuine,2,false,2
free,97,freeze,1
release,13,freeze,1
little,17,important,7
light,5,important,7
incorrect,1,accurate,3
wide,5,accurate,3
local,25,express,16
small,17,increased,2
reduced,6,increased,2
back,159,look,40
gentle,1,wild,1
domestic,1,wild,1
creator,3,creation,6
preliminary,1,final,4
initial,2,final,4
initial,2,final,4
decline,1,better,11
merit,1,fault,1
begin,3,finish,1
beginning,4,finish,1
start,26,finish,1
start,26,finish,1
studio,9,location,357
apply,21,exempt,1
implement,2,exempt,1
ceiling,3,floor,14
ending,1,middle,3
late,3,middle,3
advanced,30,middle,3
beginning,4,middle,3
start,26,middle,3
big,29,small,17
extended,3,small,17
huge,2,small,17
deep,5,small,17
grand,9,small,17
grand,9,small,17
double,4,small,17
super,4,small,17
oversized,1,small,17
spacious,2,small,17
great,23,small,17
extensive,2,small,17
wide,5,small,17
massive,2,small,17
stop,5,continue,37
open,67,restricted,1
federal,11,southern,8
blue,11,southern,8
intermediate,6,immediate,2
put,1,call,22
special,39,secondary,2
primary,11,secondary,2
original,4,secondary,2
particular,3,secondary,2
departure,4,arrival,4
addition,6,deduction,1
confirm,5,question,4
answer,3,question,4
expand,5,shorten,1
extend,1,shorten,1
postgraduate,2,undergraduate,13
employer,4,employee,8
package,10,hardware,6
software,28,hardware,6
lower,3,lift,2
smooth,3,rocky,2
problem,11,solution,6
white,13,black,5
lift,2,lower,3
southern,8,northern,11
mobile,50,fixed,7
mobile,50,fixed,7
noble,1,lady,3
citizen,7,alien,2
modern,9,ancient,1
recent,20,ancient,1
mode,3,matter,3
right,28,duty,2
light,5,heavy,3
light,5,heavy,3
dead,4,sensitive,1
special,39,common,3
extraordinary,2,common,3
single,18,common,3
singular,1,common,3
individual,11,common,3
rare,1,common,3
lay,1,professional,15
unpaid,1,professional,15
recreational,2,professional,15
preparation,6,resolution,9
follow,39,lead,2
increased,2,reduced,6
goods,3,services,123
foreign,1,domestic,1
external,24,domestic,1
international,43,domestic,1
most,33,least,4
favorite,3,least,4
free,97,lodge,2
disability,8,strength,1
remain,3,change,49
frog,1,english,50
unwind,1,wind,3
end,10,get,106
leave,10,get,106
miss,3,get,106
marine,1,terrestrial,2
broken,7,unbroken,1
sticky,1,easy,26
rocky,2,easy,26
open,67,closed,3
open,67,closed,3
wide,5,closed,3
expand,5,cut,4
increase,7,cut,4
wake,1,sleep,14
unlimited,6,limited,11
local,25,limited,11
peace,10,war,2
last,15,best,115
fall,2,increase,7
keep,13,permit,4
prohibit,1,permit,4
disallow,7,permit,4
prevent,1,permit,4
head,13,tip,3
head,13,tip,3
object,4,agree,17
disagree,1,agree,17
keep,13,let,7
prohibit,1,let,7
disallow,7,let,7
far,6,short,10
lifelong,1,short,10
endless,2,short,10
praise,2,abuse,2
free,97,bound,2
end,10,begin,3
stop,5,begin,3
terminate,1,begin,3
confirm,5,dispute,2
bad,8,standard,8
none,2,all,436
severe,1,good,16
black,5,good,16
sorry,37,good,16
hard,3,good,16
service,121,good,16
ill,2,good,16
standing,4,working,19
least,4,most,33
rustic,1,urban,11
unavailable,329,available,49
sister,1,brother,3
alternative,5,primary,11
secondary,2,primary,11
catch,2,release,13
catch,2,release,13
block,4,release,13
freeze,1,release,13
middle,3,early,10
inspiration,3,expiration,1
specific,11,universal,2
specific,11,universal,2
particular,3,universal,2
local,25,universal,2
lee,1,weather,16
prevent,1,aid,7
top,79,base,5
acid,1,base,5
right,28,center,106
surgical,5,medical,28
left,11,right,28
false,2,right,28
wrong,10,right,28
wrong,10,right,28
incorrect,1,right,28
center,106,right,28
criminal,10,right,28
hunter,1,game,20
brother,3,sister,1
check,28,disagree,1
concur,1,disagree,1
western,5,east,19
west,19,east,19
west,19,east,19
southeast,3,north,33
catch,2,drop,7
increase,7,drop,7
increase,7,drop,7
ancient,1,modern,9
ancient,1,modern,9
oral,2,written,2
oral,2,written,2
dead,4,alive,2
pull,1,push,4
break,3,advance,3
withdraw,5,advance,3
retire,1,advance,3
ignore,1,know,27
debit,2,credit,30
debit,2,credit,30
revolution,1,evolution,2
whole,3,half,12
colonial,2,simple,7
involved,17,simple,7
complex,2,simple,7
top,79,side,23
wind,3,unwind,1
roll,2,unwind,1
small,17,large,323
small,17,large,323
little,17,large,323
tiny,2,large,323
open,67,unavailable,329
accessible,1,unavailable,329
available,49,unavailable,329
whole,3,abstract,6
essential,3,accessory,1
second,2,first,42
last,15,first,42
last,15,first,42
ultimate,10,first,42
take,20,give,10
black,5,open,67
closed,3,open,67
close,55,open,67
secret,1,open,67
fold,2,open,67
insertion,1,origin,5
good,16,remote,5
close,55,remote,5
live,23,prerecorded,1
manual,3,mechanical,1
transient,2,permanent,2
temporary,2,permanent,2
temporary,2,permanent,2
live,23,recorded,1
common,3,strange,1
everyday,4,strange,1
modern,9,classical,14
pop,43,classical,14
popular,23,classical,14
internal,7,external,24
interior,2,external,24
engage,5,withdraw,5
deposit,2,withdraw,5
operate,1,withdraw,5
lock,1,withdraw,5
advance,3,withdraw,5
progress,2,withdraw,5
extend,1,withdraw,5
historic,1,legendary,1
foreign,1,native,3
strange,1,native,3
default,4,pay,25
penalty,1,reward,1
extra,4,scheduled,2
few,7,many,14
transmitter,37,receiver,5
false,2,true,6
premier,3,last,15
original,4,last,15
next,14,last,15
basic,11,last,15
buy,26,grant,6
urban,11,rustic,1
genuine,2,counterfeit,1
public,41,individual,11
common,3,individual,11
long,16,little,17
big,29,little,17
extended,3,little,17
ample,1,little,17
deep,5,little,17
grand,9,little,17
super,4,little,17
oversized,1,little,17
giant,2,little,17
spacious,2,little,17
great,23,little,17
extensive,2,little,17
large,323,little,17
opening,2,closing,1
begin,3,complete,6
part,26,multiple,11
single,18,multiple,11
singular,1,multiple,11
unique,7,multiple,11
read,34,pass,13
young,6,experienced,2
new,285,experienced,2
fault,1,merit,1
broaden,1,narrow,3
deep,5,narrow,3
wide,5,narrow,3
let,7,keep,13
break,3,keep,13
horizontal,3,vertical,3
horizontal,3,vertical,3
flat,2,vertical,3
heat,1,cool,5
warm,5,cool,5
warm,5,cool,5
warm,5,cool,5
alive,2,dead,4
alive,2,dead,4
living,20,dead,4
living,20,dead,4
much,6,less,1
more,570,less,1
base,5,noble,1
common,3,noble,1
sensitive,1,resistant,1
soft,6,resistant,1
flat,2,bright,4
soft,6,bright,4
end,10,start,26
middle,3,start,26
stop,5,start,26
terminate,1,start,26
finish,1,start,26
finish,1,start,26
begin,3,stop,5
preserve,1,stop,5
know,27,guess,4
remote,5,likely,3
last,15,likely,3
personal,74,objective,2
drive,6,pull,1
push,4,pull,1
push,4,pull,1
small,17,big,29
little,17,big,29
tiny,2,big,29
tiny,2,huge,2
crooked,2,straight,3
spiral,2,straight,3
loaded,1,empty,10
heavy,3,empty,10
dead,4,living,20
northwest,25,south,43
northeast,3,south,43
park,53,street,43
